I#1932,12/30/17,"$7,087,796.00 ",Cancelled,1/19/18,B#2384,12/10/17,"$323,201.00 ","$6,764,595.00 ",C#1932,Onfroi Greeno,OR
I#585,4/2/17,"$29,365,739.00 ",Cancelled,4/22/17,B#3892,3/13/17,"$439,156.00 ","$28,926,583.00 ",C#585,Lusa Seeler,NC
I#1474,7/30/17,"$25,357,142.00 ",Closed,8/19/17,B#3413,7/10/17,"$463,187.00 ","$24,893,955.00 ",C#1474,Jermain Lory,CA
I#604,2/24/17,"$28,724,947.00 ",Open,3/16/17,B#2134,2/4/17,"$504,407.00 ","$28,220,540.00 ",C#604,Guntar Ivankovic,IN
I#167,1/28/17,"$14,726,653.00 ",Closed,2/17/17,B#2743,1/8/17,"$153,624.00 ","$14,573,029.00 ",C#167,Ginni Derye-Barrett,IL
I#440,5/23/17,"$4,124,247.00 ",Closed,6/12/17,B#3631,5/3/17,"$411,610.00 ","$3,712,637.00 ",C#440,Packston Sein,CA
I#840,1/30/17,"$8,426,042.00 ",Cancelled,2/19/17,B#2589,1/10/17,"$285,795.00 ","$8,140,247.00 ",C#840,Duncan Rickaert,TN
I#99,8/18/17,"$28,033,082.00 ",Closed,9/7/17,B#3112,7/29/17,"$159,028.00 ","$27,874,054.00 ",C#99,Theo Javes,CA
I#838,9/4/17,"$18,933,721.00 ",Open,9/24/17,B#3621,8/15/17,"$308,196.00 ","$18,625,525.00 ",C#838,Lyndel Espino,TX
I#278,8/25/17,"$6,135,827.00 ",Cancelled,9/14/17,B#3846,8/5/17,"$466,117.00 ","$5,669,710.00 ",C#278,Sterling Twitching,TX
I#1420,11/27/17,"$8,975,039.00 ",Open,12/17/17,B#2823,11/7/17,"$592,769.00 ","$8,382,270.00 ",C#1420,Gratia Belcher,MA
I#1962,10/22/17,"$13,498,064.00 ",Open,11/11/17,B#2267,10/2/17,"$334,916.00 ","$13,163,148.00 ",C#1962,Heath Corey,IL
I#118,10/1/17,"$6,629,464.00 ",Cancelled,10/21/17,B#2183,9/11/17,"$401,766.00 ","$6,227,698.00 ",C#118,Kaspar Rounce,CA
I#463,1/11/17,"$18,115,900.00 ",Closed,1/31/17,B#3893,12/22/16,"$419,952.00 ","$17,695,948.00 ",C#463,Xena Samms,OR
I#1222,9/28/17,"$22,597,672.00 ",Cancelled,10/18/17,B#2611,9/8/17,"$333,446.00 ","$22,264,226.00 ",C#1222,Eduard Densell,CA
I#1075,3/8/17,"$1,256,120.00 ",Closed,3/28/17,B#2091,2/16/17,"$302,378.00 ","$953,742.00 ",C#1075,Candace Francie,MD
I#1249,6/11/17,"$5,903,234.00 ",Open,7/1/17,B#2240,5/22/17,"$187,459.00 ","$5,715,775.00 ",C#1249,Shir Pawson,MD
I#661,7/9/17,"$24,942,402.00 ",Closed,7/29/17,B#2506,6/19/17,"$538,115.00 ","$24,404,287.00 ",C#1249,Andriana Gauvain,CA
I#1457,6/8/17,"$5,852,513.00 ",Cancelled,6/28/17,B#2568,5/19/17,"$531,294.00 ","$5,321,219.00 ",C#1457,Malcolm Adiscot,TX
